sentence,label
just spicy enough   perfect actually  ,1
the food was very good and i enjoyed every mouthful  an enjoyable relaxed venue for couples small family groups etc  ,1
the ri style calamari was a joke  ,0
but the service was beyond bad  ,0
boy was that sucker dry    ,0
the vanilla ice cream was creamy and smooth while the profiterole  choux  pastry was fresh enough  ,1
cute  quaint  simple  honest  ,1
it was attached to a gas station  and that is rarely a good sign  ,0
best fish i've ever had in my life  ,1
the chicken wings contained the driest chicken meat i have ever eaten  ,0
the only thing i did like was the prime rib and dessert section  ,1
i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack  ,0
omelets are to die for  ,1
weird vibe from owners  ,0
we literally sat there for 20 minutes with no one asking to take our order  ,0
for about 10 minutes  we we're waiting for her salad when we realized that it wasn't coming any time soon  ,0
i would definitely recommend the wings as well as the pizza  ,1
this is an outstanding little restaurant with some of the best food i have ever tasted  ,1
very slow at seating even with reservation  ,0
the ambiance isn't much better  ,0
the bus boy on the other hand was so rude  ,0
our server was fantastic and when he found out the wife loves roasted garlic and bone marrow  he added extra to our meal and another marrow to go  ,1
extremely tasty  ,1
i did not expect this to be so good  ,1
perfect for someone  me  who only likes beer ice cold  or in this case  even colder  ,1
the ripped banana was not only ripped  but petrified and tasteless  ,0
eew    this location needs a complete overhaul  ,0
great subway  in fact it's so good when you come here every other subway will not meet your expectations  ,1
i was so insulted  ,0
when my order arrived  one of the gyros was missing  ,0
don't bother coming here  ,0
their chow mein is so good  ,1
when i opened the sandwich  i was impressed  but not in a good way  ,0
i have watched their prices inflate  portions get smaller and management attitudes grow rapidly  ,0
definitely not worth the $3 i paid  ,0
they have a good selection of food including a massive meatloaf sandwich  a crispy chicken wrap  a delish tuna melt and some tasty burgers  ,1
similarly  the delivery man did not say a word of apology when our food was 45 minutes late  ,0
everything was perfect the night we were in  ,1
we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything  ,0
very  very sad  ,0
never again will i be dining at this place  ,0
four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat   ,1
good service  very clean  and inexpensive  to boot  ,1
what i really like there is the crepe station  ,1
give it a try  you will be happy you did  ,1
the flair bartenders are absolutely amazing  ,1
it's not hard to make a decent hamburger  ,0
that said  our mouths and bellies were still quite pleased  ,1
good value  great food  great service  ,1
my fiancé and i came in the middle of the day and we were greeted and seated right away  ,1
after the disappointing dinner we went elsewhere for dessert  ,0
great place to have a couple drinks and watch any and all sporting events as the walls are covered with tv's  ,1
the chefs were friendly and did a good job  ,1
the buffet is small and all the food they offered was bland  ,0
the kids play area is nasty  ,0
the macarons here are insanely good  ,1
very very disappointed ordered the $35 big bay plater  ,0
the food was terrible  ,0
this really is how vegas fine dining used to be  right down to the menus handed to the ladies that have no prices listed  ,1
worst food/service i've had in a while  ,0
i really enjoyed crema café before they expanded  i even told friends they had the best breakfast  ,1
this is a disgrace  ,0
the only good thing was our waiter  he was very helpful and kept the bloddy mary's coming  ,1
im in az all the time and now have my new spot  ,1
this place is like chipotle  but better  ,1
the menu is always changing  food quality is going down & service is extremely slow  ,0
we walked away stuffed and happy about our first vegas buffet experience  ,1
cooked to perfection and the service was impeccable  ,1
great atmosphere  friendly and fast service  ,1
the whole experience was underwhelming  and i think we'll just go to ninja sushi next time  ,0
friend's pasta    also bad  he barely touched it  ,0
definitely worth venturing off the strip for the pork belly  will return next time i'm in vegas  ,1
not my thing  ,0
i went to bachi burger on a friend's recommendation and was not disappointed  ,1
honeslty it didn't taste that fresh   ,0
will go back next trip out  ,1
to summarize    the food was incredible  nay  transcendant    but nothing brings me joy quite like the memory of the pneumatic condiment dispenser  ,1
so we went to tigerlilly and had a fantastic afternoon  ,1
i've had better bagels from the grocery store  ,0
kids pizza is always a hit too with lots of great side dish options for the kiddos  ,1
tasted like dirt  ,0
the wife hated her meal  coconut shrimp   and our friends really did not enjoy their meals  either  ,0
when my mom and i got home she immediately got sick and she only had a few bites of salad  ,0
so they performed  ,1
  the food is rich so order accordingly  ,1
the only thing i wasn't too crazy about was their guacamole as i don't like it puréed  ,0
the staff is always super friendly and helpful  which is especially cool when you bring two small boys and a baby  ,1
very bad experience  ,0
he came running after us when he realized my husband had left his sunglasses on the table  ,1
conclusion  very filling meals  ,1
my girlfriend's veal was very bad  ,0
owner's are really great people   ,1
the cow tongue and cheek tacos are amazing  ,1
the potatoes were great and so was the biscuit  ,1
if you look for authentic thai food  go else where  ,0
i had about two bites and refused to eat anymore  ,0
avoid at all cost  ,0
reasonably priced also  ,1
frozen pucks of disgust  with some of the worst people behind the register  ,0
we made the drive all the way from north scottsdale    and i was not one bit disappointed  ,1
i hope this place sticks around  ,1
the heart attack grill in downtown vegas is an absolutely flat lined excuse for a restaurant  ,0
never had anything to complain about here  ,1
the food wasn't good  ,0
very tough and very short on flavor  ,0
will never  ever go back  ,0
bland and flavorless is a good way of describing the barely tepid meat  ,0
my friend loved the salmon tartar  ,1
i don't think we'll be going back anytime soon  ,0
things that went wrong    they burned the saganaki  ,0
highly unprofessional and rude to a loyal patron  ,0
great steak  great sides  great wine  amazing desserts  ,1
the presentation of the food was awful  ,0
it's a great place and i highly recommend it  ,1
the atmosphere here is fun  ,1
the food sucked  which we expected but it sucked more than we could have imagined  ,0
very disappointing    ,0
i'd love to go back  ,1
what should have been a hilarious  yummy christmas eve dinner to remember was the biggest fail of the entire trip for us  ,0
but now i was completely grossed out  ,0
it was probably dirt  ,0
the food is delicious and just spicy enough  so be sure to ask for spicier if you prefer it that way  ,1
would not recommend to others  ,0
not good for the money  ,0
there is nothing privileged about working/eating there  ,0
overall  i like this place a lot  ,1
the staff is great  the food is delish  and they have an incredible beer selection  ,1
i always order from the vegetarian menu during dinner  which has a wide array of options to choose from  ,1
the best place in vegas for breakfast  just check out a sat  or sun  ,1
waited and waited and waited  ,0
the burger is good beef  cooked just right  ,1
one nice thing was that they added gratuity on the bill since our party was larger than 6 or 8  and they didn't expect more tip than that  ,1
the service was a bit lacking  ,0
great time   family dinner on a sunday night  ,1
fantastic service here  ,1
 the bathroom is just next door and very nice   ,1
i won't be back  ,0
the plantains were the worst i've ever tasted  ,0
gave up trying to eat any of the crust  teeth still sore   ,0
i give it 2 thumbs down ,0
dessert  panna cotta was amazing  ,1
dont go here  ,0
best buffet in town  for the price you cannot beat it  ,1
the service was outshining & i definitely recommend the halibut  ,1
the selection on the menu was great and so were the prices  ,1
the sweet potato fries were very good and seasoned well  ,1
the service was great  even the manager came and helped with our table  ,1
update     went back for a second time and it was still just as amazing ,1
highly recommended  ,1
it was a bit too sweet  not really spicy enough  and lacked flavor  ,0
i  heart  this place  ,1
great service and food  ,1
will not be back  ,0
won't go back  ,0
this is a really fantastic thai restaurant which is definitely worth a visit  ,1
same evening  him and i are both drastically sick  ,0
disappointing experience  ,0
great pizza and salads  ,1
they dropped more than the ball  ,0
the food was excellent and service was very good  ,1
join the club and get awesome offers via email  ,1
the roast beef sandwich tasted really good  ,1
this is one of the best bars with food in vegas  ,1
food was really boring  ,0
this is my new fav vegas buffet spot  ,1
both of the egg rolls were fantastic  ,1
food quality has been horrible  ,0
it was absolutely amazing  ,1
the cocktails are all handmade and delicious  ,1
very poor service  ,0
i can't tell you how disappointed i was  ,0
the deal included 5 tastings and 2 drinks  and jeff went above and beyond what we expected  ,1
will not be back  ,0
this place deserves one star and 90% has to do with the food  ,0
my side greek salad with the greek dressing was so tasty  and the pita and hummus was very refreshing  ,1
for sushi on the strip  this is the place to go  ,1
just had lunch here and had a great experience  ,1
it was a pale color instead of nice and char and has no flavor  ,0
i find wasting food to be despicable  but this just wasn't food  ,0
eclectic selection  ,1
nargile   i think you are great  ,1
ordered an appetizer and took 40 minutes and then the pizza another 10 minutes  ,0
our server was super nice and checked on us many times  ,1
they know how to make them here  ,1
it was way over fried  ,0
this place lacked style   ,0
he was terrible  ,0
overall  a great experience  ,1
very convenient  since we were staying at the mgm  ,1
the service was terrible though  ,0
the chicken i got was definitely reheated and was only ok  the wedges were cold and soggy  ,0
they have a really nice atmosphere  ,1
the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well  ,1
waiter was a jerk  ,0
it shouldn't take 30 min for pancakes and eggs  ,0
the manager was the worst  ,0
they have horrible attitudes towards customers  and talk down to each one when customers don't enjoy their food  ,0
you can't beat that  ,1
if you stay in vegas you must get breakfast here at least once  ,1
however  my recent experience at this particular location was not so good  ,0
the food  amazing  ,1
check it out  ,1
the refried beans that came with my meal were dried out and crusty and the food was bland  ,0
we asked for the bill to leave without eating and they didn't bring that either  ,0
i had a pretty satifying experience  ,1
would not go back  ,0
once you get inside you'll be impressed with the place  ,1
on a positive note  our server was very attentive and provided great service  ,1
hell no will i go back ,0
i'll take my business dinner dollars elsewhere  ,0
so good i am going to have to review this place twice   once hereas a tribute to the place and once as a tribute to an event held here last night  ,1
i was mortified  ,0
overall i was not impressed and would not go back  ,0
i live in the neighborhood so i am disappointed i won't be back here  because it is a convenient location  ,0
overall  i like there food and the service  ,1
strike 2  who wants to be rushed  ,0
nicest chinese restaurant i've been in a while  ,1
the scallop dish is quite appalling for value as well  ,0
a great touch  ,1
not good by any stretch of the imagination  ,0
i love the decor with the chinese calligraphy wall paper  ,1
avoid this establishment  ,0
the warm beer didn't help  ,0
i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself  ,0
this place is pretty good  nice little vibe in the restaurant  ,1
great food for the price  which is very high quality and house made  ,1
bacon is hella salty  ,1
i know this is not like the other restaurants at all  something is very off here  ,0
this place is not worth your time  let alone vegas  ,0
i dont think i will be back for a very long time  ,0
they could serve it with just the vinaigrette and it may make for a better overall dish  but it was still very good  ,1
i paid the bill but did not tip because i felt the server did a terrible job  ,0
there is really nothing for me at postinos  hope your experience is better ,0
i'm not really sure how joey's was voted best hot dog in the valley by readers of phoenix magazine  ,0
stopped by during the late may bank holiday off rick steve recommendation and loved it  ,1
i will be back many times soon  ,1
waaaaaayyyyyyyyyy over rated is all i am saying  ,0
point your finger at any item on the menu  order it and you won't be disappointed  ,1
any grandmother can make a roasted chicken better than this one  ,0
a great way to finish a great  ,1
why are these sad little vegetables so overcooked  ,0
the sides are delish   mixed mushrooms  yukon gold puree  white corn   beateous  ,1
unfortunately  it only set us up for disapppointment with our entrees  ,0
the owners are super friendly and the staff is courteous  ,1
very friendly staff  ,1
i go to far too many places and i've never seen any restaurant that serves a 1 egg breakfast  especially for $4 00  ,0
the only downside is the service  ,0
everyone is very attentive  providing excellent customer service  ,1
i have been in more than a few bars in vegas  and do not ever recall being charged for tap water  ,0
the food was very good  ,1
based on the sub par service i received and no effort to show their gratitude for my business i won't be going back  ,0
just don't know why they were so slow  ,0
as for the service  i thought it was good  ,1
an hour    seriously  ,0
it was awesome  ,1
maybe it's just their vegetarian fare  but i've been twice and i thought it was average at best  ,0
the nachos are a must have  ,1
it was so bad  i had lost the heart to finish it  ,0
pricing is a bit of a concern at mellow mushroom  ,0
but i don't like it  ,0
my first visit to hiro was a delight  ,1
it'll be a regular stop on my trips to phoenix  ,1
i'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place  ,0
shrimp  when i unwrapped it  i live only 1/2 a mile from brushfire  it was literally ice cold  ,0
this place deserves no stars  ,0
not much flavor to them  and very poorly constructed  ,0
my brother in law who works at the mall ate here same day  and guess what he was sick all night too  ,0
service was exceptional and food was a good as all the reviews  ,1
host staff were  for lack of a better word  bitches  ,0
i've never been treated so bad  ,0
the staff is super nice and very quick even with the crazy crowds of the downtown juries  lawyers  and court staff  ,1
this is was due to the fact that it took 20 minutes to be acknowledged  then another 35 minutes to get our food   and they kept forgetting things  ,0
i had the chicken pho and it tasted very bland  ,0
seems like a good quick place to grab a bite of some familiar pub food  but do yourself a favor and look elsewhere  ,0
food was below average  ,0
it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant  ,0
loved it   friendly servers  great food  wonderful and imaginative menu  ,1
great place to eat  reminds me of the little mom and pop shops in the san francisco bay area  ,1
my sashimi was poor quality being soggy and tasteless  ,0
awesome service and food  ,1
then our food came out  disappointment ensued  ,0
service was fantastic  ,1
the ambience is wonderful and there is music playing  ,1
much better than the other ayce sushi place i went to in vegas  ,1
it's close to my house  it's low key  non fancy  affordable prices  good food  ,1
i would not recommend this place  ,0
my wife had the lobster bisque soup which was lukewarm  ,0
this is the place where i first had pho and it was amazing   ,1
the first time i ever came here i had an amazing experience  i still tell people how awesome the duck was  ,1
the chips and salsa were really good  the salsa was very fresh  ,1
we will not be coming back  ,0
the servers are not pleasant to deal with and they don't always honor pizza hut coupons  ,0
great food and great service in a clean and friendly setting  ,1
this place is disgusting  ,0
the tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu  ,0
the poor batter to meat ratio made the chicken tenders very unsatisfying  ,0
the service was a little slow   considering that were served by 3 people servers so the food was coming in a slow pace  ,0
a fantastic neighborhood gem     ,1
the han nan chicken was also very tasty  ,1
the chicken dishes are ok  the beef is like shoe leather  ,0
and service was super friendly  ,1
on three different occasions i asked for well done or medium well  and all three times i got the bloodiest piece of meat on my plate  ,0
great place to relax and have an awesome burger and beer  ,1
he was extremely rude and really  there are so many other restaurants i would love to dine at during a weekend in vegas  ,0
the ambiance here did not feel like a buffet setting  but more of a douchey indoor garden for tea and biscuits  ,0
come hungry  leave happy and stuffed  ,1
despite how hard i rate businesses  its actually rare for me to give a 1 star  ,0
the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old  ,0
the grilled chicken was so tender and yellow from the saffron seasoning  ,1
i promise they won't disappoint  ,1
the patio seating was very comfortable  ,1
i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer  ,0
all i have to say is the food was amazing    ,1
we are so glad we found this place  ,1
ambience is perfect  ,1
awesome selection of beer  ,1
in an interesting part of town  this place is amazing  ,1
i got food poisoning here at the buffet  ,0
but then they came back cold  ,0
the yellowtail carpaccio was melt in your mouth fresh  ,1
  both the hot & sour & the egg flower soups were absolutely 5 stars  ,1
the worst experience ever  ,0
this place is way too overpriced for mediocre food  ,0
sauce was tasteless  ,0
left very frustrated  ,0
nice  spicy and tender  ,1
there is not a deal good enough that would drag me into that establishment again  ,0
these are the nicest restaurant owners i've ever come across  ,1
waitress was sweet and funny  ,1
this is one of the better buffets that i have been to  ,1
i probably would not go here again  ,0
some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot  ,1
the worst was the salmon sashimi  ,0
after two i felt disgusting  ,0
i ordered the lemon raspberry ice cocktail which was also incredible  ,1
went for lunch   service was slow  ,0
walked in and the place smelled like an old grease trap and only 2 others there eating  ,0
couldn't ask for a more satisfying meal  ,1
so in a nutshell  1  the restaraunt smells like a combination of a dirty fish market and a sewer  ,0
i'd rather eat airline food  seriously  ,0
sorry  i will not be getting food from here anytime soon    ,0
i love this place  ,1
your staff spends more time talking to themselves than me  ,0
their frozen margaritas are way too sugary for my taste  ,0
service was slow and not attentive  ,0
definitely will come back here again  ,1
service was fine and the waitress was friendly  ,1
the descriptions said  yum yum sauce  and another said  eel sauce   yet another said  spicy mayo    well none of the rolls had sauces on them  ,0
the bathrooms are clean and the place itself is well decorated  ,1
also  i feel like the chips are bought  not made in house  ,0
as for the  mains   also uninspired  ,0
it was a huge awkward 1 5lb piece of cow that was 3/4ths gristle and fat  ,0
i don't know what kind it is but they have the best iced tea  ,1
probably not in a hurry to go back  ,0
the turkey and roast beef were bland  ,0
this place has a lot of promise but fails to deliver  ,0
we've tried to like this place but after 10+ times i think we're done with them  ,0
probably never coming back  and wouldn't recommend it  ,0
if she had not rolled the eyes we may have stayed    not sure if we will go back and try it again  ,0
after 20 minutes wait  i got a table  ,0
it's like a really sexy party in your mouth  where you're outrageously flirting with the hottest person at the party  ,1
but i definitely would not eat here again  ,0
no one at the table thought the food was above average or worth the wait that we had for it  ,0
great food and awesome service  ,1
we definately enjoyed ourselves  ,1
total letdown  i would much rather just go to the camelback flower shop and cartel coffee  ,0
say bye bye to your tip lady  ,0
it is worth the drive  ,1
mediocre food  ,0
perhaps i caught them on an off night judging by the other reviews  but i'm not inspired to go back  ,0
hot dishes are not hot  cold dishes are close to room temp i watched staff prepare food with bare hands  no gloves everything is deep fried in oil  ,0
i'd say that would be the hardest decision    honestly  all of m's dishes taste how they are supposed to taste  amazing   ,1
it was a drive to get there  ,0
i kept looking at the time and it had soon become 35 minutes  yet still no food  ,0
my salad had a bland vinegrette on the baby greens and hearts of palm  ,0
an absolute must visit  ,1
this place should honestly be blown up  ,0
the management is rude  ,0
i started this review with two stars  but i'm editing it to give it only one  ,0
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored  ,1
my ribeye steak was cooked perfectly and had great mesquite flavor  ,1
now the burgers aren't as good  the pizza which used to be amazing is doughy and flavorless  ,0
i had high hopes for this place since the burgers are cooked over a charcoal grill  but unfortunately the taste fell flat  way flat  ,0
service is also cute  ,1
i have eaten here multiple times  and each time the food was delicious  ,1
i think this restaurant suffers from not trying hard enough  ,0
the folks at otto always make us feel so welcome and special  ,1
the cashew cream sauce was bland and the vegetables were undercooked  ,0
tried to go here for lunch and it was a madhouse  ,0
the food is good  ,1
one of the few places in phoenix that i would definately go back to again   ,1
service is perfect and the family atmosphere is nice to see  ,1
the waitress was friendly and happy to accomodate for vegan/veggie options  ,1
spend your money and time some place else  ,0
all the bread is made in house  ,1
we sat another ten minutes and finally gave up and left  ,0
needless to say  i won't be going back anytime soon  ,0
i really enjoyed eating here  ,1
high quality chicken on the chicken caesar salad  ,1
my husband and i ate lunch here and were very disappointed with the food and service  ,0
seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh  ,0
there was hardly any meat  ,0
the pizza selections are good  ,1
waitress was good though  ,1
coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up  ,0
needless to say  we will never be back here again  ,0
on the good side  the staff was genuinely pleasant and enthusiastic   a real treat  ,1
at least 40min passed in between us ordering and the food arriving  and it wasn't that busy  ,0
the chips that came out were dripping with grease  and mostly not edible  ,0
every time i eat here  i see caring teamwork to a professional degree  ,1
if it were possible to give them zero stars  they'd have it  ,0
thus far  have only visited twice and the food was absolutely delicious each time  ,1
  really  really good rice  all the time  ,1
i loved the grilled pizza  reminded me of legit italian pizza  ,1
the potato chip order was sad    i could probably count how many chips were in that box and it was probably around 12  ,0
only pros   large seating area/ nice bar area/ great simple drink menu/ the best brick oven pizza with homemade dough  ,1
we won't be returning  ,0
we had a group of 70+ when we claimed we would only have 40 and they handled us beautifully  ,1
a good time  ,1
i loved it  ,1
the crêpe was delicate and thin and moist  ,1
all in all  i can assure you i'll be back  ,1
also there are combos like a burger  fries  and beer for 23 which is a decent deal  ,1
the fries were great too  ,1
if that bug never showed up i would have given a 4 for sure  but on the other side of the wall where this bug was climbing was the kitchen  ,0
the owner used to work at nobu  so this place is really similar for half the price  ,1
terrible management  ,0
the seafood was fresh and generous in portion  ,1
service was very prompt  ,1
we were sat right on time and our server from the get go was fantastic  ,1
kind of hard to mess up a steak but they did  ,0
the food is about on par with denny's  which is to say  not good at all  ,0
ryan's bar is definitely one edinburgh establishment i won't be revisiting  ,0
bland    not a liking this place for a number of reasons and i don't want to waste time on bad reviewing   i'll leave it at that    ,0
we'll never go again  ,0
i liked the patio and the service was outstanding  ,1
i loved their mussels cooked in this wine reduction  the duck was tender  and their potato dishes were delicious  ,1
delicious and i will absolutely be back  ,1
i love the pho and the spring rolls oh so yummy you have to try  ,1
then  as if i hadn't wasted enough of my life there  they poured salt in the wound by drawing out the time it took to bring the check  ,0
good food   good service   ,1
they have great dinners  ,1
ample portions and good prices  ,1
and the chef was generous with his time  even came around twice so we can take pictures with him   ,1
and the beans and rice were mediocre at best  ,0
the servers went back and forth several times  not even so much as an  are you being helped   ,0
everything was fresh and delicious  ,1
she was quite disappointed although some blame needs to be placed at her door  ,0
their rotating beers on tap is also a highlight of this place  ,1
an excellent new restaurant by an experienced frenchman  ,1
go to place for gyros  ,1
this isn't a small family restaurant  this is a fine dining establishment  ,1
i wasn't really impressed with strip steak  ,0
this place is horrible and way overpriced  ,0
they really want to make your experience a good one  ,1
i also had to taste my mom's multi grain pumpkin pancakes with pecan butter and they were amazing  fluffy  and delicious  ,1
they will customize your order any way you'd like  my usual is eggplant with green bean stir fry  love it  ,1
at first glance it is a lovely bakery cafe   nice ambiance  clean  friendly staff  ,1
for service  i give them no stars  ,0
service is quick and even  to go  orders are just like we like it  ,1
i left with a stomach ache and felt sick the rest of the day  ,0
food is way overpriced and portions are fucking small  ,0
waited 2 hours & never got either of our pizzas as many other around us who came in later did  ,0
everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter  ,1
for 40 bucks a head  i really expect better food  ,0
the restaurant is very clean and has a family restaurant feel to it  ,1
last night was my second time dining here and i was so happy i decided to go back  ,1
